name;city;#publications;#publishers;publishers;density;#students
Lviv Polytechnic National University;Lviv;444;646;"57194164968; 57204921512; 57327411400; 6504026191; 57201851816; 57060392400; 57205214083; 7801590982; 25630167800; 57216892335; 57220766157; 57219345897; 57220763975; 57226533669; 57816400300; 57457035600; 57222488672; 57194419499; 57222725650; 57816552300; 57189333184; 6507920066; 57130994800; 57208898204; 57224184312; 57208666027; 57188570712; 57202219168; 57816723300; 55053351700; 57224197455; 57457042700; 57220785473; 57191955205; 57200140415; 58178875200; 56287766100; 57195918531; 6504784216; 57217113704; 57211998215; 57201701043; 57204076274; 36092239300; 57195572950; 57208343279; 57210748716; 57215410548; 57216933737; 55225720500; 46461666400; 57204914133; 57213686130; 57073927700; 57220764300; 57216432972; 57203146900; 57200917607; 21741497000; 57218492241; 57220106761; 55225639600; 58061103500; 57218345886; 57198358655; 57224950357; 56658681200; 57907400000; 57815612300; 57211296464; 58019423100; 36069104500; 57216896254; 57373469000; 54419637600; 58179012100; 57226539854; 57779905500; 57217965035; 58066402300; 57189378423; 35867827400; 35109294500; 55210843200; 12790997400; 53363129900; 57209528737; 57189387163; 57200141350; 57189329580; 24479843500; 57211626257; 57195886168; 58296155100; 16232461500; 57209532921; 57224946515; 57218794570; 57188864596; 57193241325; 57219357568; 57208342655; 54397653400; 57214091495; 57815771300; 57204354670; 55596621400; 57209531720; 57236729600; 57444633000; 57213288434; 57215661021; 57787738800; 57226523887; 58061034800; 57164002600; 58019941900; 58179268200; 56367474600; 57226528305; 57208908522; 57209534097; 57642776100; 24484163500; 58652166100; 57189381388; 56681156900; 57218345668; 8407184400; 57220767331; 57208900184; 57212532694; 57815928700; 58002213500; 23470833800; 36069352400; 57226526533; 57202453582; 57189382145; 57189319470; 22635393000; 57188576351; 57207307024; 58765729000; 57221919290; 57223105401; 57224954978; 57220194329; 55225677300; 57208900511; 36068917100; 57188753579; 55211125700; 57208903412; 57282374000; 57224949058; 55792058700; 58066091900; 57224200323; 57224193786; 58765426400; 8218305900; 57222493264; 37561840600; 57221874269; 57214221903; 57189324938; 57226540226; 58490106700; 57226672923; 56020802700; 57188567411; 57226101995; 22333871500; 57204944009; 35612566700; 57212533957; 57200044667; 57218345937; 6602597868; 57208909008; 57210313109; 57189383267; 57218347317; 36349242400; 57211207599; 55481055000; 24484277800; 58101295700; 24484208600; 57202219233; 55658587900; 55225607600; 58066066300; 57204559109; 57218955797; 57669940700; 57445620700; 57210416121; 57834809700; 57212527793; 8644170300; 57210573166; 57217115505; 6507589303; 57445829900; 24482851100; 57201009544; 55984985200; 57203755866; 57210281813; 57224186041; 57226541892; 57221867049; 57200068730; 57456880300; 57191580259; 57191407841; 57218953219; 24829993600; 36195660900; 57217083342; 58179182100; 58765303400; 57189331968; 57211621118; 12240482000; 58765599000; 57224195580; 58066695800; 57220767841; 55225672200; 57205541065; 57218347743; 57188802596; 57816720300; 57226524898; 57204566467; 57224954547; 57194415126; 6701504402; 57194425476; 58250068500; 57224188299; 57203371750; 57211624283; 57224187961; 58066697600; 57222387801; 57224189630; 57216899382; 36069374300; 57815771200; 22137230600; 57189330191; 35734628100; 57671758100; 57216896155; 58489841500; 57216895767; 57456879800; 6602466028; 57643366000; 57742937100; 57222495650; 57220764608; 57816398800; 8410487000; 57220993649; 58765649000; 57456882600; 55225797600; 57444756600; 57219533387; 55225685600; 57210409232; 58781357500; 57201519160; 57815615000; 57217115226; 57221860325; 57224184267; 35365171000; 7005343651; 57226530888; 8644962500; 57188864671; 57211624058; 57216900485; 35796044000; 57815611300; 27868100200; 57190374581; 58249837600; 57885340500; 57204911188; 55338986000; 57226538315; 57226523591; 54957215600; 57210685044; 57191410341; 57552812600; 57715601700; 57191202577; 57456785800; 6603085655; 57190168434; 57224196918; 24723181500; 57215359741; 24479832900; 57205303632; 23502474400; 57211200048; 57191616821; 57211628068; 57205433072; 57218346070; 57289744000; 36622919400; 57204949103; 57222494498; 57224203474; 8956518300; 58489711600; 57189378644; 35868028100; 24479272400; 57205202109; 57194507106; 57218683902; 57226529221; 57202819882; 57456944800; 57217200195; 57191118426; 57212560353; 56979364400; 57445617900; 56350959300; 57444530300; 58490097700; 57210410402; 57224947930; 58018920300; 57716294700; 58160817800; 54420777000; 57456894800; 9041607400; 57189326140; 6508258144; 57218347077; 57190166089; 24483721700; 57552351600; 56180337400; 18133765600; 8413964400; 36091174500; 58204833600; 57208902437; 57189330822; 55513309600; 57204937850; 7101883783; 57202221912; 57670710100; 57203399037; 57224195349; 57223005097; 57816720900; 57373838900; 57479938300; 58019109200; 56511716700; 58019698300; 57221864019; 57215340452; 8088913000; 46061103500; 58284122900; 57218501593; 56814493900; 56368047900; 57816704900; 57212410139; 57224190567; 57195506070; 57195404131; 58178975400; 55225639700; 37122321800; 57218347179; 57196355828; 57216484132; 57217115729; 57220193801; 58204709900; 57491032600; 24314779100; 57456777800; 57219532730; 57191864463; 57201781103; 57191860704; 57221871002; 7801673266; 56437585400; 57217490587; 58739872800; 57219008106; 57217113249; 58765301600; 57215341154; 57226541811; 55226030000; 57815598900; 57219107945; 57223831767; 57189323863; 58066825300; 24484282800; 57456978800; 57210281749; 55225677200; 57219591847; 24479552900; 57224195469; 57191420511; 57226105319; 57816242000; 57374007300; 57204939533; 57219537964; 36069232000; 6602604864; 57456971600; 56007810100; 57560298100; 57226532359; 57224190931; 57210286606; 57374362200; 57220993648; 57711585900; 57218346060; 58266611100; 58179321600; 57196370192; 57216895192; 57204914282; 57188577075; 58019571700; 57210789694; 57218569355; 57217309969; 6504570604; 57212532494; 57211620220; 57219602994; 24482879100; 58205324700; 24480180700; 57457255600; 57486483200; 57202210649; 57193995645; 57815615100; 57210420799; 56328498400; 57211295171; 24072000100; 17433321700; 57219537244; 57224955046; 55948382100; 57226532459; 57208905270; 57204941063; 57204565838; 55858934300; 57226784460; 58019756900; 26435137200; 57220198250; 6701762312; 36070271300; 58765477500; 57203618952; 57226530471; 56738918700; 58179355800; 58066688800; 57283960100; 57215582319; 36069242600; 57219110473; 57205614904; 57200527876; 57218346537; 57200786767; 58178811300; 35868099900; 55400506500; 57170613200; 57711072000; 57224192856; 57844174500; 58765364000; 58349158400; 57217115170; 57376383200; 57224201611; 57194688820; 57218346721; 55226109400; 55885125200; 57210290831; 57456850300; 57815753000; 57208338884; 57816705200; 57216895243; 58067174400; 57216492874; 57195127104; 58019005500; 57393435100; 57191967462; 56156714500; 56979297100; 22334383000; 23007887700; 57220148205; 57216487720; 57486280800; 57215363948; 57204076679";0,762962963;1731
Kharkiv National University of Radio Electronics;Khrakiv;259;371;"57216346667; 6507659355; 57209460276; 57224185195; 56736026400; 36070041200; 57715601500; 6602558899; 58266792600; 57439378000; 57816562200; 24483080100; 57218143939; 57189905938; 57204560430; 57220108735; 7004568169; 58375766100; 36776426800; 57352374800; 56825892200; 57191573314; 57209339417; 55645191800; 56866204000; 57203148553; 57209338164; 58066246600; 57210661864; 57217114845; 57215833217; 57194145491; 43061153900; 57190372355; 57200654627; 57224188651; 57211976635; 56938734300; 57203885630; 58239648300; 57219533381; 57218139926; 57208026716; 23988174700; 57385920100; 57204557798; 54401505000; 56866436300; 56153126500; 57208026284; 54408852100; 57204591712; 57210889803; 57352374900; 57204591905; 57215835371; 6507354120; 57217030807; 57765391000; 56911938100; 57216897253; 57204567433; 8357172000; 57715597000; 56658715600; 20433339500; 7003842489; 57189385909; 57210288841; 57467911700; 58733790100; 55225639100; 55225643900; 7005837246; 57208028798; 6507867882; 57224191788; 57224189723; 57207768136; 57224188064; 57671208800; 57210289620; 57203150183; 57815615300; 57219245125; 57226768716; 57191863710; 58298910800; 57207770012; 57201779205; 57384978100; 58265868800; 57195682869; 56940612600; 57208883462; 6602781297; 57220778664; 7202983977; 57208014293; 57250163100; 57189381444; 57603723200; 57211747565; 36021627200; 57243975500; 56866271600; 57207765829; 57219971720; 57202799599; 57249599500; 57195920975; 57217114486; 16644308700; 57216490102; 57209023773; 27867964800; 35868216200; 58266122800; 57208898156; 57224349553; 57195684561; 57208259795; 57188694373; 57188752496; 57208027230; 56529580100; 57220834684; 57223108800; 57265730300; 56338488300; 57204559813; 57195465905; 57207757448; 57212536928; 56866413200; 57190568855; 56658733600; 57467913300; 57216488858; 58266323400; 57208032200; 9534102000; 57191865911; 57235531500; 37000416100; 57210290233; 57816399000; 58266602300; 16302534800; 57220181878; 57208026223; 57210948259; 55226675100; 57194044700; 57958095100; 6603639913; 57225331260; 58266293600; 56455232200; 57226535515; 57205414470; 57200986251; 57211294555; 57194426632; 57216485174; 6506991522; 57170510300; 57218138167; 57876665400; 57189386160; 57195682895; 57521816200; 57208907089; 25929592700; 36117618500; 57207767352; 57961924300; 57249456600; 57218116847; 57226357638; 58128129600; 57203145938; 57189329211; 57208026679; 55658561300; 57216157544; 57210891646; 57195683902; 57202800058; 57190664123; 57226786264; 57208803001; 55386924000; 57210896084; 58127029100; 57021874100; 57207306840; 57748914900; 57194029567; 58690045100; 57218143980; 57219973231; 57260210400; 57212031376; 57189006723; 57219530621; 57439895600; 57191857192; 57210287752; 57221961256; 57217115858; 24527617600; 57207762084; 57571509500; 57194511905; 57218144984; 57203141711; 57207774022; 57221227175; 57215830289; 57385435300; 57194757941; 57468687000; 57201773605; 57208908545; 36118124700; 57876665300; 6506695489; 8860381900; 57219532386; 58066981800; 57215342653; 57219777747; 57216950622; 56448404000; 57204591573; 57057781300; 57190441784; 56865768000; 57208035249; 57193449011; 57203139749; 57219773778; 58066372700; 57192818805; 57249311800; 58624126200; 57816723400; 57218140230; 57249729800; 55225644100; 57202957182; 57904162800; 57188754454; 58670631900; 57215374156; 57191861308; 57215833568; 57196940070; 58298537300; 57191613564; 57222156371; 57249461900; 57195753097; 57212888696; 57211908898; 57226525375; 57208028034; 55930661700; 57222739507; 58624072800; 57207779807; 57219538448; 57201726253; 57203140922; 57385895400; 57191724196; 57193325956; 57215830222; 58266148100; 57201728980; 57250027000; 57191268970; 57194214849; 55245750000; 6506130334; 7005418534; 57204941028; 35867876500; 57207256674; 6507672782; 6603655274; 57189390048; 57218102620; 57224184250; 56440024900; 57211145204; 57221698630; 24482907700; 57202740796";0,776666667;1302
Taras Shevchenko National University of Kyiv;Kyiv;258;395;"50161934200; 57219611275; 57227972500; 58781155300; 8088186200; 57210744815; 57224881006; 57201729261; 6602216570; 57221522551; 57222153921; 56884707500; 57851888100; 56359009500; 57485384300; 57211291536; 57190766460; 7006741597; 57188623059; 57189216930; 58681437000; 57203269094; 57190942288; 57207771390; 57219606721; 57219613870; 57188535491; 58685169300; 15137640400; 57337043000; 57670854500; 57200227059; 6507580266; 57194711434; 57200165109; 57194043799; 44661392700; 57212001099; 57222156652; 57205603432; 57208566066; 35192058200; 58725919600; 58250369200; 8700803100; 57200616055; 57219926552; 6701527231; 57222082763; 57191856083; 57216544020; 57205613392; 57203287578; 57202216784; 57216151170; 57203286015; 57559415300; 57216150467; 57200188616; 56016410700; 55926336700; 14063413700; 56497047400; 6602778501; 57213289661; 57191977873; 57244781000; 57222757943; 56667169600; 58043682200; 57222756609; 6507309724; 6604033509; 6507926049; 57222711203; 57210596311; 54397238100; 56358857000; 57190127510; 57191727361; 7004374434; 57188806994; 57210292227; 6506623724; 16431535400; 57200141737; 25026248700; 57560518000; 57215303050; 57219600082; 57218596900; 6506173786; 57219739237; 57224954271; 14525309200; 57456800300; 6602697265; 57205503897; 57200525760; 57194520926; 22956536100; 58101514400; 57211475719; 55891888100; 58298724000; 58725919700; 57219606319; 58623934000; 57210743622; 57479631700; 57216901073; 24723321600; 57188645471; 57811370100; 57671576000; 57245050700; 57207358279; 57575174000; 57645729200; 57224977778; 26425180100; 57188682230; 57224881043; 28767600100; 57140798400; 58673829600; 57208568632; 24604968400; 14066962300; 57575174100; 57216156286; 58082674700; 25927769900; 24480010500; 56837996700; 57216900563; 57468846800; 55320360800; 57222153286; 6507449974; 57218569617; 57224011132; 7006482235; 6507483403; 57225216160; 6603240132; 57202316924; 57203286918; 56720856800; 57222711201; 57218567908; 36628043900; 36705462600; 56358898000; 57194705849; 58717740500; 57216148997; 57200184567; 57210588288; 58775237800; 16436198800; 57204643913; 57222714533; 57205439768; 57194528334; 49862800100; 57207857890; 57192371738; 57250343300; 57219614308; 57225027891; 58249906800; 57210570098; 57716887100; 54391288700; 57194709427; 57951373000; 56335677500; 58042471500; 57190125441; 57216737999; 57214935213; 58029632500; 57192985387; 36790389200; 57216160555; 57215319676; 57851035600; 58734926500; 57539854900; 57207912430; 56358752500; 58791462500; 58118042500; 57188687900; 12242734700; 57210583233; 57222758327; 57566766900; 57282986900; 57200533470; 57212683857; 58127392100; 56352192500; 57199581757; 57223918365; 57497484800; 57189330864; 57212673010; 35585493200; 57210751284; 57215819788; 6602555083; 55128121500; 56369427000; 57468383800; 56358907900; 57222756833; 56074920300; 7003668092; 57467888400; 35269855400; 57218566883; 57222758939; 57288714600; 57245485600; 6507806853; 58355311100; 57219326645; 57202321835; 57369370800; 57672074100; 57200182743; 58716805400; 57218106504; 57202377504; 57195531548; 57190404746; 56084816800; 57190975212; 57212031795; 56358461000; 58657968000; 57214591500; 57191861121; 15081867000; 57194564633; 57216147491; 58628453300; 56086487700; 57220206076; 54947346500; 57216462211; 58342464400; 17434817400; 57222575306; 57190945399; 58734522400; 57216147633; 58734892400; 57194039632; 57217291224; 57432001200; 14831314500; 57224009110; 57214753102; 57288554300; 57203454389; 57219926852; 57219050151";0,751851852;420
National Technical University of Ukraine "Igor Sikorsky Kyiv Polytechnic Institute";Kyiv;192;306;"58576066200; 58707304800; 57225935600; 57216923306; 6602978717; 58127571000; 7004218869; 58734558800; 57190439255; 55926129500; 58291312700; 55232334900; 54795717500; 57190407286; 57195936190; 6603273141; 55977532700; 57210943957; 57217082842; 57016852900; 57192821146; 55768351500; 57195133949; 57208347012; 58162780400; 57219024686; 58681286500; 57211213112; 58162917100; 57228147900; 6602831123; 57205121635; 57218616971; 57208905776; 57202216979; 55368781500; 57226176881; 58127023500; 6701678845; 55819487800; 6701857553; 57647208500; 57220177733; 58575301400; 57226550796; 6603303845; 58127023600; 57644238900; 57225145359; 56029291400; 57219006750; 58490332300; 6506602058; 57216927642; 55774376600; 57219648493; 57194423328; 58173727100; 55611305200; 56418479100; 58133921200; 58562604000; 58259122800; 57671921900; 58061009300; 57226548265; 57217296081; 58689617600; 56707680600; 58681297400; 58576066100; 57223357264; 58680752500; 58257979400; 57552224500; 57211254275; 57205194569; 57216920089; 15050814400; 57202223127; 57209974243; 57192819425; 57227424800; 57219056698; 58563092500; 57210217884; 57670705200; 22233812100; 7006844017; 6506282781; 57209577093";0,912087912;2231
National Aerospace University "Kharkiv Aviation Institute";Khrakiv;187;101;"57194777356; 57211793853; 54911941800; 57222082570; 8383604200; 57214231847; 57417516700; 57222094287; 57418069200; 57214223812; 57216484591; 57222493079; 57194523801; 57220833706; 57191220899; 57222100721; 57364617100; 57417878300; 58704645200; 57207915447; 57203142885; 55635895100; 57221093842; 57205484208; 57222125911; 55960151500; 58127024700; 7006530598; 56890641400; 57205704859; 55634654000; 57210105682; 57216412439; 23478131700; 57203141190; 7102807762; 57222124194; 57290795400; 57222120278; 57207761125; 23396181700; 55960146000; 57195913632; 57954091500; 57954790500; 57204619131; 57418069100; 57192961558; 57209797691; 57220835013";0,88;334
National Technical University "Kharkiv Polytechnic Institute";Khrakiv;105;126;"57429718700; 8345715900; 57208109791; 55976743600; 57539418400; 57194525720";0,333333333;573
V. N. Karazin Kharkiv National University;Khrakiv;110;202;"57279537100; 57216155945; 57190131336; 56414594400; 57217134641; 57219929489; 57190132152; 57198055136; 57784577300; 57203141277; 57208665851; 57201779202; 57216335182; 57946321500; 8586634700; 6506502353; 6602387161; 57210600924; 57216357510; 24074681000; 57216783242; 56182348800; 57218951658; 58787226800; 57884612800; 57190123666; 58787462900; 8256868600; 57217131223; 57207771350; 57215274481; 57216409113; 6602888346; 7005978594; 55516494000; 57204910281; 57210600308; 57207781410; 57208668910; 56182972600; 57212341344; 57194045884; 57194031966; 57393493100; 57428462500; 57203140029; 57207772725; 57219923486; 56930496000; 57208907206; 14525033900; 57194037341; 56181653400";0,509433962;216
Sumy State University;Sumy;70;131;"6505950362; 56857490400; 56439436900; 57203587342; 57216952789; 58199360000; 57222122130; 57190396215; 57193231739; 56106039600; 57191336735; 57216845957; 55975685500; 57218108571; 56669955400; 58192112000; 56387696700; 57192894389; 57195321650; 57219529842; 57195398101; 36105646300; 57190445323; 57193111202; 57226351250; 57208899783; 6506649428; 57220362429; 57204827517; 56439974900; 58073832400; 57773839700; 41261194400; 57949494800; 55673815500; 56667771600; 57196004388; 56318245900; 57194526188; 57196299250; 57215016152; 57202627758; 58126904300; 56677890400; 57211486785; 14619751100; 56275471300; 54883604300; 57948642200; 56440211700; 57931022700; 57219930575; 58579761500; 57192962344; 58125976000; 57208672034; 54972904200; 58318301800; 6505763698; 55359732200; 58090516400; 57189099775; 36119198500; 57223390447; 57221790469; 57148522500; 57131020200; 57148511400; 57203429788; 56436846000; 57210604549; 55885326200; 58703589900; 36105518300; 57392171300; 57210598193; 56644950500; 56856626100; 15770545200; 57391755200; 57970631900; 26530793400; 57214957739; 6701836202; 57741148800; 57128607900; 57195066717; 57204833365; 58698593400; 57879548300; 57203981844; 57931458500; 57204275166; 36992766300; 57210605480; 57221949418; 54406073800; 58497881900; 57189328705; 56439623500; 57218109775; 56498675800; 58073504600; 57189331724; 57204692056; 55769747343; 57222982001; 55674106600; 57219116341; 57218106801; 57204028825; 57439566100; 58203758700; 57207772531; 56104755400; 58100968200; 57931458600";0,564102564;162
Vinnytsia National Technical University;Vinnytsia;68;110;"57219317069; 23996023000; 57016740800; 57200141075; 58429663700; 57195676663; 57195676311; 57191420661; 58698723500; 57204586193; 57222498246; 57208769600; 57194518644; 57202229639; 57212031536; 57212032228; 57505368200; 57221866846; 57369242000; 55645362900; 57105176500; 7801338325; 57223111111; 56826154200; 57212035459; 57539532300; 57208802323; 57204946031; 6505609129; 57191847500; 57195681469; 55225643800; 57105814000; 57208026590; 57219624746; 6603402702; 57204397418; 55883932200; 57195680655; 57191728399; 57208782498; 36614735900; 57208783087; 57209145792; 57195671923; 57191848691; 58698461500; 57314796200; 57195929617; 35758353700; 57192640340; 16554663000; 7102252059; 57190127108; 57204583671; 54683375300; 58726680000; 58728278600; 57195670849; 57212677177; 57903467100; 57208035623; 57213686051; 57204591052; 57096023600; 57105832300; 57222761356; 55644063100; 57204593374; 57208013617; 36160284600; 57191736988; 57204582651; 57194332419; 57195674979; 57104953300; 57195677310; 57202208998; 36681833900; 57208012069; 57195681338; 57204591435; 57191729653; 57197850810; 58037513300; 57204585944; 57369242100; 6604010292; 57195683421; 56001988500; 57244115200";0,604395604;-
Kherson National Technical University;Kherson;51;80;"33768140200; 41262346600; 57189389867; 57210289513; 57226531722; 57208026222; 24785934700; 57981776100; 6505672018; 57191865839; 57214728471; 57210291515; 56528296400; 57210290179; 56527168200; 57210284358; 6507004007; 24178534800; 57194176077; 57205500086; 57220202076; 56817176300; 57210285190; 57200138613; 57219708595; 57226778954; 6507106971; 57192563039; 56572975800; 57903749300; 57210288367; 57208670254; 57210284988; 25931119500; 57220199155; 57289372000; 57214723707; 57194272113; 57218491539; 57207470263; 57193060813; 57210281765; 57217114044; 56667738100";0,613636364;-
Karpenko Physico-Mechanical Institute;Lviv;48;49;"23018760700; 57196074183; 26428937300; 7004706126; 7801666347; 9132976300; 56983067400; 55639536100; 57060567400; 57196082324; 57200051269; 35867996700; 6602604102; 10040626200; 6508053925; 8503707500; 25225832200; 18042456500; 6507270433; 55710433000; 8331723000; 37029845400; 6507733408; 35423018200; 7801581694; 56112269600; 6506624784; 57291606800; 15120101300; 6506318919; 57204349688; 55793015900; 23567031700; 55213880300; 6602325050";0,714285714;-
Ternopil Ivan Puluj National Technical University;Ternopil;20;77;"57211626782; 57200173815; 57204918728; 35317149100; 57221865055; 57508479000; 23096167000; 57210416399; 57204909092; 57219537474; 57216331921; 57224192700; 57219601617; 57193438714; 57210559535; 34971752100; 57219594007; 57211782697; 35867793200; 57204915387; 57209529998; 6507116848; 57221871877; 57209802337; 57373126900; 6602372899; 57219772992; 57211145884; 16550998700; 24178188900; 58614423400; 57705282700; 57210564563; 24725898800; 57374179100; 57210555642; 57207622429; 57194160115; 57148526900; 57210420590; 58613540800; 57219781314; 57217113468; 8329677000; 55954250000; 57218248206; 57205431778; 54911988600; 24482769100; 57221861916; 6504281097; 24479759600; 58613681200; 57209798658; 57216900270; 57218672988; 58613978100; 57226530958";0,534482759;-
V. M. Glushkov Institute of Cybernetics;Kyiv;75;124;"56910030700; 6506109210; 57195443590; 6507934221; 7102596880; 7006380891; 57214938708; 57492335000; 57193097903; 57211838086; 15071821900; 57208355839; 56422270700; 58023632000; 56017924800; 35180143600; 16202071500; 36652488500; 57211838413; 57216931030; 56416237400; 15750518500; 7005900640; 14062655100; 7003508341; 56348701300; 8967548400; 22433510200; 7003550950; 23970484200; 8721572000; 55737245300; 8650415200; 35338397100; 15131859600; 7004866111; 54789863400; 6602822409; 57196747484; 23394005400";1;-
National University of Life and Environmental Sciences of Ukraine;Kyiv;46;110;"56106081200; 57217293623; 57202223472; 57209301493; 57218896355; 57902656400; 58019662000; 57216846105; 58768113800; 58768625800; 57191258138; 57222589504; 57204778664; 57942777600; 57202964971; 57353478300; 57216162707; 57204879318; 57353478400; 58572992600; 57226028922; 57203923198; 57218797157; 57285789900; 57220049627; 57189332038; 14050382100; 55258972200; 57222197428; 57362280000; 58573466100; 57202996198; 58019080100; 55014326700; 57190807942; 58573236500; 57226684117; 57223364826; 57432320500; 57216155217; 57324209200; 57209272320; 57903491800; 57204769537; 58768241200; 57202219454; 57217420905; 57196472815; 56535475300; 58019604700; 57192820550; 57196219083; 58564170400; 57210699506; 57201775836; 57226019339; 57941918300; 57200984727; 57191822433; 57221500406; 58097171000; 55372082100; 56019506300; 57421156900; 56853296600; 55347312400; 57190123483; 27169821800; 58767653500; 58768048700; 57194235283; 58064415100; 57222145792; 57207994931; 58508482900; 57215311803; 57191189893; 57219298768; 57220805994; 57210112877; 57892682700; 57202640247; 57194443737; 24829503600; 6602349022; 57196450151; 57218824358; 58067015300; 57204677409; 57979338000; 24722975700; 57192955547; 57202995068; 56545750900; 57210802050; 57205763013; 57220211947; 58296690500; 57554135500; 57190123378; 57209273649; 58001557700; 57220030054; 57903291900";0,413461538;-
Odesa National Polytechnic University;Odesa;42;44;"57103429400; 57204567421; 57196464557; 57200318014; 57205501123; 57705566400; 57210206709; 57711072100; 57207533280; 57196469145; 43060962600; 57204569500; 57226139708; 57647176300; 57191865810; 57226164351; 57210123939; 57226167441; 57211998053; 57190488371; 36104775700; 57193025809; 57211997890; 57202211853; 16202975800; 57216148600; 57190428346; 58735109800; 57223830519; 27868185600; 57226138090; 8532376700; 56585590300";0,606060606;706
Ukrainian Catholic University;Lviv;41;75;"57207766922; 57215966945; 57189512157; 57222866446; 57271564000; 57207766334; 57206989929; 57967667400; 58120128500; 57201316320; 57201983320; 57456900900; 55430089200; 23978483400; 57385549300; 45861286300; 57854287000; 55208178900; 58573860300; 57215965590; 57188638438; 57751661600; 55575845100; 41862317300; 57215965606; 56021095800; 10040896900; 57207764029; 57215968900; 58484736500; 57215962601; 58115317400; 14833874000; 6701499063; 57215969938; 57215968569; 57214471918; 58573860400; 20735841100; 57200201205; 57215962907; 56022563800; 58573821800; 57215967382; 57215963810; 57204760191; 57385549200; 24764919500; 56288839400; 57204907615; 57207763211; 57647908500; 57509024900; 57218707999; 57215775166; 8721433400; 55176928200; 57452139900; 57215967270; 57444976700; 18234199600";0,524590164;135
